URL,Size in Bytes,Num of outlinks,Content-type
https://www.usatoday.com/story/opinion/2019/12/04/submit-letters-columns-and-comment-social/2608825001/,116272,122,text/html
https://www.usatoday.com/story/news/health/2021/12/21/covid-holiday-safety-need-to-know/8968198002/,178301,158,text/html
https://www.usatoday.com/contact/staff/,439541,709,text/html
https://www.usatoday.com/news/investigations/,193773,159,text/html
https://www.usatoday.com/videos/news/nation/2022/02/08/billionaire-space-explorer-among-top-50-us-donors/6701243001/,121480,149,text/html
https://www.usatoday.com/story/entertainment/celebrities/2022/02/07/leslie-jones-live-tweet-olympics-after-misunderstanding-nbc/6700700001/,156017,142,text/html
https://www.usatoday.com/travel/,161582,158,text/html
https://www.usatoday.com/in-depth/news/investigations/2022/01/12/cheer-netflix-season-2-jerry-harris-charges/9188009002/,161372,60,text/html
https://www.usatoday.com/story/entertainment/celebrities/2022/02/07/heather-mcdonald-comedian-collapses-stage-tempe-improv-arizona/6688438001/,160438,152,text/html
https://www.usatoday.com/story/news/politics/2022/02/07/macron-scholz-diplomacy-ukraine-russia/6689578001/,152188,144,text/html
https://www.usatoday.com/story/sports/nfl/saints/2022/02/07/new-orleans-saints-hire-dennis-allen-sean-payton-replacement/6698671001/,154877,138,text/html
https://www.usatoday.com/story/opinion/2022/02/07/revive-nuclear-weapons-deal-iran/9209368002/,172624,158,text/html
https://www.usatoday.com/story/news/politics/2022/02/07/white-house-decision-eric-lander/6695298001/,142835,145,text/html
https://www.usatoday.com/story/sports/nfl/2022/02/07/alvin-kamara-identified-police-suspect-before-pro-bowl/6700184001/,159762,138,text/html
https://www.usatoday.com/story/sports/olympics/2022/02/07/zhu-yi-has-fallen-weibo-china/6688230001/,163549,146,text/html
https://www.usatoday.com/story/tech/2022/02/07/verizon-phone-contracts-extended-to-3-years/6687969001/,125752,145,text/html
https://www.usatoday.com/money/,160007,162,text/html
https://www.usatoday.com/staff/4252292001/michelle-shen/,173658,161,text/html
https://www.usatoday.com/story/tech/columnist/2020/06/04/kim-komando-has-5-tips-block-hide-your-number-when-making-calls/3138344001/,157320,156,text/html
https://www.usatoday.com/story/tech/gaming/2021/04/26/pc-console-phone-gaming-community-usa-today/7197605002/,136169,136,text/html
https://www.usatoday.com/picture-gallery/travel/10best/awards/2021/05/22/10-best-science-museums-united-states/5210281001/,161771,162,text/html
https://www.usatoday.com/story/tech/talkingtech/2018/10/09/listen-talking-tech-podcast/1580909002/,123800,141,text/html
https://www.usatoday.com/story/tech/2021/07/13/iphone-ios-15-missing-features-old-phones/7948107002/,137503,144,text/html
https://www.usatoday.com/videos/tech/2021/09/21/mit-researchers-develop-glow-dark-plants/5795706001/,114582,143,text/html
